"Target","ARIMA","ETS","SVR","ELM","XGB","LSTM","MLP"
73458,72990.1529030371,73132.5499154818,71765.9020168682,69687.4837840244,75996.8986394065,67632.3607569422,65482.0428244046
72324.5714285714,70966.0236138535,71208.3128710749,70678.7114613302,69869.0636113268,73116.6101140976,65825.2034243856,63644.2180305208
67688.5714285714,70729.469311625,71003.22695444,69790.0150842415,69556.2086669453,71322.2047593253,65811.2110902922,63069.3616593225
64488.4285714286,63856.9014283207,64571.1057340623,64901.5898512353,65366.5921671104,68872.8424953052,59146.3167342458,60537.9268300874
61530,61967.7709375815,61715.9724257249,61794.15370222,61628.397197148,65830.7362497193,57903.1173612731,57648.4959032195
59065.7142857143,58692.5709631841,58992.6656562558,58922.1710457729,57605.3857741773,62076.1846704483,54582.9483170509,54706.6494698524
56369,56709.5810782799,56880.1591925051,56704.3811003387,55689.5720656012,59169.1657698495,52913.6517104421,52094.3824317115
54280,53812.9008076479,54145.7106121323,53430.5578763716,52544.026218872,56886.5199366978,50156.9249720573,50517.0463993209
53623.2857142857,52230.5587505133,52402.3714318829,51394.3182061169,50503.300302477,54694.7964019775,48833.03972435,48862.9894514084
50258.7142857143,52472.4225774343,52697.7629772316,51740.3505627207,50894.3104682748,53191.5821114949,49163.7758563587,48358.4292287826
47623.8571428571,47384.0174385085,47996.5879233508,48383.5220798082,48286.9108914167,51362.8300362314,44234.9761719704,46285.6684070315
45071.4285714286,45563.5584242045,45427.2204104883,45676.4980688519,45129.3090513109,49166.3332202094,42805.6048916408,43902.9334848608
42756.8571428572,42729.3957881437,42943.3372276032,42988.355848464,42111.5087264626,46179.2799803529,40047.1639529637,41235.6204092843
40571.1428571429,40659.1988036008,40786.4592926571,40907.0706629332,40057.5303356397,43549.2472769873,38157.6483551434,38513.9058634554
39057.4285714286,38508.2045241751,38719.7328834594,38291.9670661523,37357.1179995148,41453.717555012,36159.9221217973,36835.010432039
37979.5714285714,37472.1610344961,37629.8107951301,36734.9166706898,35905.7590298881,39654.9186909539,35270.5518067224,35502.609929221
