[1] "Iter.: 40 | lag: 5 | kernel: radial | gamma: 0.1 | cost: 100 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.937210503467584"
[1] "Iter.: 41 | lag: 5 | kernel: radial | gamma: 0.1 | cost: 100 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.970470160834149"
[1] "Iter.: 42 | lag: 5 | kernel: radial | gamma: 0.1 | cost: 100 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.960360349204498"
[1] "Iter.: 43 | lag: 5 | kernel: radial | gamma: 0.1 | cost: 1000 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.92284554450971"
[1] "Iter.: 44 | lag: 5 | kernel: radial | gamma: 0.1 | cost: 1000 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.990967901216589"
[1] "Iter.: 45 | lag: 5 | kernel: radial | gamma: 0.1 | cost: 1000 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.97006250402431"
[1] "Iter.: 46 | lag: 5 | kernel: radial | gamma: 0.001 | cost: 1 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.519103887258554"
[1] "Iter.: 47 | lag: 5 | kernel: radial | gamma: 0.001 | cost: 1 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.526592808052638"
[1] "Iter.: 48 | lag: 5 | kernel: radial | gamma: 0.001 | cost: 1 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.528903929553953"
[1] "Iter.: 49 | lag: 5 | kernel: radial | gamma: 0.001 | cost: 100 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.39777421485589"
[1] "Iter.: 50 | lag: 5 | kernel: radial | gamma: 0.001 | cost: 100 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.41419062893015"
[1] "Iter.: 51 | lag: 5 | kernel: radial | gamma: 0.001 | cost: 100 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.400882013174282"
[1] "Iter.: 52 | lag: 5 | kernel: radial | gamma: 0.001 | cost: 1000 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.375944992280501"
[1] "Iter.: 53 | lag: 5 | kernel: radial | gamma: 0.001 | cost: 1000 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.236135258027776"
[1] "Iter.: 54 | lag: 5 | kernel: radial | gamma: 0.001 | cost: 1000 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.251349810837266"
[1] "Iter.: 55 | lag: 7 | kernel: linear | gamma: 1 | cost: 1 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.00195932933052448"
[1] "Iter.: 56 | lag: 7 | kernel: linear | gamma: 1 | cost: 1 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.00134532002591799"
[1] "0.0014297504 --> 0.00134532 - it: 56"
[1] "Iter.: 57 | lag: 7 | kernel: linear | gamma: 1 | cost: 1 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.00137446891267767"
[1] "Iter.: 58 | lag: 7 | kernel: linear | gamma: 1 | cost: 100 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.00207363864867584"
[1] "Iter.: 59 | lag: 7 | kernel: linear | gamma: 1 | cost: 100 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.00148909062547869"
[1] "Iter.: 60 | lag: 7 | kernel: linear | gamma: 1 | cost: 100 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.00150239390092895"
[1] "Iter.: 61 | lag: 7 | kernel: linear | gamma: 1 | cost: 1000 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.0021335054169335"
[1] "Iter.: 62 | lag: 7 | kernel: linear | gamma: 1 | cost: 1000 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.00148030875247772"
[1] "Iter.: 63 | lag: 7 | kernel: linear | gamma: 1 | cost: 1000 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.00148494482166517"
[1] "Iter.: 64 | lag: 7 | kernel: linear | gamma: 0.1 | cost: 1 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.00195932933052448"
[1] "Iter.: 65 | lag: 7 | kernel: linear | gamma: 0.1 | cost: 1 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.00134532002591799"
[1] "Iter.: 66 | lag: 7 | kernel: linear | gamma: 0.1 | cost: 1 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.00137446891267767"
[1] "Iter.: 67 | lag: 7 | kernel: linear | gamma: 0.1 | cost: 100 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.00207363864867584"
[1] "Iter.: 68 | lag: 7 | kernel: linear | gamma: 0.1 | cost: 100 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.00148909062547869"
[1] "Iter.: 69 | lag: 7 | kernel: linear | gamma: 0.1 | cost: 100 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.00150239390092895"
[1] "Iter.: 70 | lag: 7 | kernel: linear | gamma: 0.1 | cost: 1000 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.0021335054169335"
[1] "Iter.: 71 | lag: 7 | kernel: linear | gamma: 0.1 | cost: 1000 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.00148030875247772"
[1] "Iter.: 72 | lag: 7 | kernel: linear | gamma: 0.1 | cost: 1000 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.00148494482166517"
[1] "Iter.: 73 | lag: 7 | kernel: linear | gamma: 0.001 | cost: 1 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.00195932933052448"
