"","RMSE","MAE","MAPE","R2","WPOCID","Theil"
"X30",52074.4808905149,42740.5414719465,59.8129820426901,0.0171123336059265,0.538461538461538,297.42091947193
"X31",4385.66847207408,2581.91045457551,4.23372022349842,0.969342969731832,0.338461538461538,2.13454827981359
"X32",2687.64788739911,1779.94836106413,3.13150955737987,0.987964853386512,0.276923076923077,0.786670753721633
"X33",2612.17225443484,1702.42838654653,3.00355686284552,0.988560779841623,0.292307692307692,0.743609987686051
"X34",2732.2270814069,1760.50344283634,3.07281763404611,0.987455255583541,0.269230769230769,0.812773175972271
"X35",2417.05961100385,1553.52977538412,2.78675983644801,0.990122620394489,0.246153846153846,0.616919489540052
"X36",35919.298800781,29262.1959872857,39.3897298208575,0.617109825315965,0.307692307692308,141.687062571995
"X37",33420.0465862389,24973.6112101725,31.8423053482515,0.159704496032084,0.407692307692308,123.373859935712
"X38",26404.2235029831,21019.390375133,27.9677204450328,0.829970883103883,0.384615384615385,75.529017335714
"X39",27581.3013051122,21271.8308632679,28.5798716565998,0.433559375208116,0.4,82.0336740665436
"X40",21486.194915818,14958.307186938,18.483110210029,0.694234442874053,0.384615384615385,50.8606170176129
"X41",48481.3209600511,39723.7272665055,54.2262164731326,0.176850612135883,0.530769230769231,259.51102265389
"X42",54661.3010366533,44597.6773033361,61.6552563948271,0.132658323780978,0.523076923076923,328.679124830479
"X43",50046.1301601289,41657.3853362027,58.3743184169643,0.0191908442775267,0.538461538461538,274.323822208682
"X44",48370.6650888369,40468.9432177491,57.5805672850592,4.31663479212066e-05,0.546153846153846,256.018746266494
"X45",48103.956953942,38140.2754426658,51.7327751851078,0.0472979508101622,0.5,256.504788964489
"ARIMA",2814.42640108563,1975.22924759255,3.49788668124539,0.986921484021089,0.353846153846154,0.864314167416561
"ETS",2736.72972089968,1515.02498697113,2.55511592761372,0.987567869163727,0.276923076923077,0.796587744257942
"SVR",2883.00131768533,1759.15932610513,3.03556682384545,0.986218256558662,0.284615384615385,0.905810394489363
"ELM",2851.94301451472,1720.95462743352,2.99896140926219,0.986544178577094,0.261538461538461,0.890587148868187
"XGB",4925.43130643886,3888.09708825684,6.91845420660672,0.963047763442617,0.138461538461538,2.68232332096011
"LSTM",6802.79315626554,5204.8187619448,8.12178902537407,0.948328372605161,0.123076923076923,4.99016607875944
"MLP",17328.5361655376,13405.1548045531,17.5736229232724,0.964238413688904,0.253846153846154,32.5983699342859
"DESTC",2426.5723861771,1554.68281483502,2.74998836234308,0.99007863199176,0.246153846153846,0.626770978455573
"DESTCRI",2559.98020551605,1674.64063105108,2.94665649207106,0.989067985391052,0.230769230769231,0.70360624448142
"cSA",20860.502944777,16754.9111248017,22.491984004723,0.944789406929341,0.3,47.3788316560275
"cSM",20978.683609055,16095.1354921939,20.8532097377949,0.918712729721276,0.330769230769231,48.086784772506
"cSVR",16402.9713202925,13966.0144595247,22.7087240665261,0.901050712801614,0.284615384615385,30.4597448175731
"cELM",20430.5794620617,15707.9971868288,21.542581514879,0.960528376614145,0.338461538461538,46.508635718227
"cMLP",52859.9308496997,45064.1935602307,74.5105278200769,0.155774989883859,0.230769230769231,312.918157684379
"DSLA",54661.3010366533,44597.6773033361,61.6552563948271,0.132658323780978,0.523076923076923,328.679124830479
"DESLA_m",6620.33481306913,4551.04495080134,6.2819574595847,0.970266166252788,0.284615384615385,4.71289458189017
"DESLA_a",16975.7872462619,13604.1055966937,18.2449236342002,0.968983545153418,0.338461538461538,31.4473220092692
"Oracle",564.088092512809,265.608572356722,0.409819471879709,0.999458067231601,0.0692307692307692,0.035563051374455
