"Target","ARIMA","ETS","SVR","ELM","XGB","LSTM","MLP"
41832.7142857143,41510.4399138357,41472.8805462898,41244.1360975866,42287.1077171438,44520.616041104,44392.0082881848,37101.0274755898
39166.1428571429,40816.1187577795,41529.3425300819,41044.9419171658,41217.9018792901,43316.8689980904,42946.5176184348,37363.8136778786
36091.2857142857,37049.2414262851,37087.8765837003,36140.2893323816,35965.7314649213,41587.7084204072,41156.8378554866,35668.8408794233
33456.7142857143,33476.725572182,33630.2291867075,33718.1204573883,33612.9382165256,39430.0039532298,39134.2343081122,33084.9243230138
28309.5714285714,31921.8169808494,31343.1853028364,31287.5203528639,31046.146313587,36815.7329947267,37053.8841116088,30504.7386470238
27260.8571428571,22699.1566402487,24256.2931884711,23646.0233886139,24850.3992931826,32960.9647961117,33864.6322071495,25391.3825381313
26808.4285714286,29111.9344389737,26327.0167353578,27719.8954087032,29793.2835915943,30610.6997508038,31334.2009989506,24079.5219603266
26738,24150.6555503153,26465.0972768167,24900.2869218282,26987.9936985307,28586.3537592774,29387.6269522111,24314.2343124265
26713.7142857143,27433.1456643093,26680.3725070686,27401.9692481336,28676.0498763822,27992.4109210798,28065.0990288116,24662.1645357155
27405.2857142857,27010.8265224552,26696.2025206082,25302.8934083632,25259.7190972168,27642.7433784746,27195.414403572,25799.1913422176
28762.1428571429,26683.8995411497,27943.4115369881,28628.9294819507,28303.5885235577,27900.6584243916,27227.9391736019,26677.9110528685
33630.2857142857,31872.3382972731,29836.6531020075,29933.5467720552,29753.6119620869,28646.662826277,27768.6272811975,28175.0805662303
34598.5714285714,36203.4224267525,37450.0494389142,38617.9572407435,38368.9143797857,31392.3191986708,29839.9808285577,32812.1344413587
34907.4285714286,34916.3543927087,35472.0944572084,33525.6305341022,33521.3309735883,33155.6444938211,31459.4289226986,34426.8676866179
35002.7142857143,35803.4579780942,35139.2000958046,36516.1789070169,36620.8680866985,34913.6092107864,32838.5222205889,34547.1783304725
29631.1428571429,34953.7275856175,35076.4478760764,34433.5951310749,34556.9895091578,35420.5272132669,33924.6799075263,34505.5031662271
32446.2857142857,23752.7846309375,25451.2426663966,25276.8603404644,25211.4017205483,33175.4955450637,32840.221103637,28681.8601981458
37758,39469.6971271395,34493.198612132,38010.5144300084,37906.2099794014,33566.884375436,32943.1636791655,30125.3675564641
41888.2857142857,38210.4566444498,42003.9737036295,40116.0420838114,39685.2593912895,35085.3219571227,34504.8984356097,35413.5676863307
45588.1428571429,45984.6073852015,45226.6603636755,46261.1098817408,45930.3890872024,38741.4310230755,36714.3996176209,39405.0152541569
46576.8571428571,49499.0272104787,48539.0295873449,46701.1449337432,47130.7107513759,42631.1608511153,39414.5730728138,43757.7381175416
47306.2857142857,44369.1338246527,47414.0951750063,47651.8342572003,47618.7311004661,45150.7658438115,42165.6566462574,44483.4866061608
58408,52037.5654579112,47873.171604881,49509.0468833004,49587.9158265909,46985.8926501104,44346.6688663846,44203.2349636668
61612.2857142857,66858.7815703862,67058.7232541906,70399.4969141565,70176.1637107769,52850.2268139748,49430.5725442739,51257.1972480785
61583.2857142857,60560.6177540616,64396.4641446656,60265.6013721021,60258.0833511335,56789.7597957452,53167.8077600059,53869.0902827978
56703.2857142857,64438.9577975584,61568.6411321801,63746.4438619243,64250.7976041032,60578.5201100168,55599.4910707303,53805.5935679674
