"","Target","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","ARIMA","ETS","SVR","ELM","XGB","MLP","LSTM","DESTC"
"21",51788.57143,50825.97418,50884.27046,51061.62307,51077.58448,50920.94078,44964.11576,47443.9466,46606.3311,47270.88015,47244.10887,45380.73181,44091.17683,43008.26897,43932.49478,40835.98996,50679.26207,50864.86365,50840.75416,50957.11951,50582.36766,43002.28686,46615.57508,46548.70547,46312.02436,46254.67433,42482.97865,41870.12762,41747.17173,35309.59722,36388.2478,50555.96277,50550.75373,50628.47731,51384.46098,51488.34613,39799.47595,48094.29339,47542.50687,48521.00455,46946.02284,36099.51335,42506.24149,38350.66225,34543.84011,37104.71269,50999.36539,50840.36422,50456.37057,49768.12616,53557.68233,48390.47641,47393.02089,50617.61242
"22",56420.71429,50596.97514,50671.42488,50835.68654,51037.30451,51144.59569,44276.63302,46661.76275,45579.44431,45242.06112,45877.18588,44034.00503,44068.22437,43019.29688,42556.92829,40712.429,50756.22952,50955.59095,50946.36599,50949.00283,50982.56819,42342.65685,44944.4191,45563.16255,45036.20006,45187.49968,40332.29423,41473.70259,40985.51397,34203.5661,34374.61715,49060.68587,50703.00588,50700.83411,51084.39627,50879.12609,38602.72436,46705.93359,46398.76567,46234.91553,45612.53001,35178.27952,39777.51275,38316.46762,34141.01584,36449.30788,50840.6895,50733.8949,49734.45957,48732.1302,51676.47294,47003.49326,47391.91293,49734.45957
"23",50593.85714,58718.32661,58722.98207,58541.92503,59307.43593,59382.52677,48084.42284,51581.46802,52059.52285,49082.6418,51558.49467,47986.92471,51194.79171,48106.88627,46219.93629,45888.9159,58616.63871,58660.76651,58554.69727,58506.13283,59113.69201,48377.4892,50056.6339,49145.99477,48674.55885,49960.60512,42031.92697,44990.52891,44415.60618,37322.64285,35730.90952,56322.44953,59714.47876,59232.85144,59305.54178,59506.76886,41720.47782,50241.4923,50256.13428,50005.38514,48218.20052,37344.03055,39863.68388,42447.83586,38420.14018,39135.30951,58985.83291,59240.33469,55768.73586,54829.86366,52869.61209,50647.99458,55454.96758,56322.44953
"24",47548.28571,46355.64963,46420.68261,46433.93032,46744.83602,46392.85972,46121.83133,47900.1781,48706.24756,49306.78509,48930.73624,43613.96609,47395.10565,49234.55432,51800.29903,49686.6339,46026.82408,46337.58697,46612.76501,46311.45963,45184.5518,42779.57745,46462.99135,44850.25487,43257.12199,44017.97552,39780.50899,39759.48779,44002.05993,41602.33083,38213.21093,50722.84995,46089.30017,46013.37558,46368.34017,46124.61119,40827.96326,45455.03182,43771.1898,39000.56461,41187.75878,39899.21754,33519.0051,35789.05886,40671.75361,39713.77846,46226.76689,47937.26809,49174.48733,52746.66291,52691.36314,48860.20213,42559.61715,46089.30017
"25",45401,46917.97163,46976.11748,47154.35655,47503.18876,46197.50027,42452.50438,46003.77555,45853.38736,48246.36854,47313.7005,45692.42046,42801.59794,42186.86294,43859.16904,41052.38215,46988.12118,47351.07449,47159.75127,47404.59045,48786.21658,43887.63176,43667.43259,44366.95369,44231.84973,43103.77563,39966.70062,40983.91275,40827.27345,34981.5588,36119.86349,47351.11145,46464.76167,46985.78062,46929.35579,47848.04476,39418.3437,43611.58425,39598.10172,38921.41227,40420.38238,38637.1666,35502.71988,32882.81557,32805.04739,34765.43776,46230.74338,45013.85415,46067.44826,46680.98707,50974.15951,45625.36682,43559.0656,46067.44826
"26",43510.42857,42946.25875,43171.57253,43508.23701,46191.98718,43173.97152,40297.04344,39731.97255,39308.75021,40431.18708,39714.09398,42173.94189,35091.22901,34786.61333,35979.96469,32619.32226,42914.06802,42831.24647,42629.79571,42686.64511,43166.78842,36161.78945,39677.86545,40562.17263,38873.78737,41352.37574,41592.91488,39096.68998,38826.29364,30289.04238,36971.79012,40843.81816,43841.90509,43662.94033,42269.55316,42977.1406,33138.35673,41035.40822,37792.31291,37905.07604,39741.99552,37090.23879,30448.11212,32924.92644,30932.3216,29507.09186,43290.62687,43414.88596,43830.47311,41750.91262,46578.9186,42157.66157,40404.32386,42269.55316
"27",42029.57143,41351.11492,41540.9148,42725.59491,42745.08353,42762.89816,38224.83614,39363.56361,36283.9025,35329.72874,36647.94854,35499.97264,35847.50311,37868.84691,35352.45667,35152.98276,42730.58999,42994.78027,42949.86179,43466.43327,42221.54112,37507.26172,38538.51951,41336.97052,41677.28961,40379.58794,36019.94552,36815.24237,38934.3797,35946.95365,34902.8639,44856.45799,42991.08226,42670.35633,42829.76109,42885.28557,36381.19379,38020.63292,38392.6416,37843.60968,37199.79422,33485.20659,30497.81252,33429.22907,30550.29782,30861.91613,41839.06253,41822.24572,42713.55487,43625.61444,43532.04256,38269.33965,39128.34563,41822.24572
"28",41794.28571,40474.29635,40580.43516,41021.60915,40994.30572,41148.04529,38075.57627,38875.10959,37581.18211,37183.72922,37712.55814,37187.34225,37099.55749,37635.4279,36696.00294,36158.04882,39705.93526,40101.3795,40663.05364,40363.30702,39673.73769,34556.49577,37990.97491,35205.43572,35747.15554,33715.26815,38491.48865,34626.55081,30598.89838,33460.1899,29073.10545,44963.461,41322.04698,40409.19488,39903.40543,41481.45343,35716.50024,37098.41022,34711.62364,32833.64959,32314.13453,32829.3368,34373.35905,26749.37841,25697.36511,27888.77575,40509.92619,40663.25947,39609.4952,40051.1748,42436.794,38215.25872,37896.7415,39673.73769
"29",40907.14286,41118.62421,41181.91428,41234.76045,41417.04461,41661.23851,38321.92538,39208.43602,38543.61497,37950.56009,38478.5507,37901.57107,38212.75712,38176.29138,37348.83901,37111.07852,40982.89451,41307.02429,41716.94698,41751.0585,42489.93256,35376.33769,37100.31507,37053.79189,36955.77247,37225.90417,32688.0061,35437.5487,37155.12931,29455.40117,30446.22278,32318.48793,38683.43921,38693.86576,39019.10916,38964.95359,34960.2658,37235.18984,35315.52371,36380.74963,37021.35005,30658.35089,35700.21309,35243.8829,31938.70841,31701.77563,41142.48093,41269.76109,38869.13981,37076.02069,41638.75711,38343.9666,38626.55182,38693.86576
"30",40198.57143,39878.86073,39929.72022,39947.89185,40006.94301,40088.50443,38216.1218,38831.53572,38544.00671,38108.61096,38447.3937,37742.52716,38440.15673,38569.46788,38389.16592,37993.11196,39763.26009,39989.07895,40188.08256,39960.73002,40369.63372,36154.90925,37252.47327,37229.51339,36488.62684,36775.42687,34465.89346,35704.42208,36403.77009,33117.00166,32588.06825,44416.75374,42885.80842,42695.51639,43087.5298,43964.28614,32696.03324,40511.33876,38730.05289,38214.59412,39586.852,36594.82971,30459.33765,35664.08437,36318.66269,35083.72416,39829.16827,40213.16517,39762.25463,39579.95883,41104.12174,38195.45483,37395.31004,39763.26009
