"","Target","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","ARIMA","ETS","SVR","ELM","XGB","MLP","LSTM","DESTC"
"21",95983.42857,95221.37324,95381.84881,95164.14672,94403.95614,95783.00868,94298.36175,94204.80535,94194.4688,94003.36328,94020.48815,94200.96849,94166.00276,96206.68415,94729.82496,95896.72122,95243.19364,95694.90814,95614.86633,96553.40644,96885.87672,93542.06751,94016.93282,94019.48465,93276.59936,94355.18021,93212.58087,95278.87294,95634.87481,94974.39454,95710.0717,95022.13647,94747.268,95791.02881,95223.88704,93977.1642,94076.90449,96354.30907,94906.1258,94672.89445,96433.24409,95951.26239,96467.05576,95546.4509,94833.89601,93442.85709,95612.55594,95312.38839,95073.07302,93692.95427,107388.0013,89535.67463,94489.19104,95148.48003
"22",101376.7143,96451.40802,96853.30905,97219.29972,97282.03032,97309.9507,95796.43385,96954.2108,96616.18395,96838.39734,97207.6696,96858.84227,96641.50298,95433.99651,96721.50448,97097.26126,96472.3504,96771.74778,96951.41865,97386.50518,96721.24465,97808.16772,96848.50951,97259.34978,97447.04526,97183.21266,97197.47609,97083.43383,96879.32562,96671.37857,96027.51689,101566.4602,98171.41383,97928.68021,98257.09078,98569.45367,96974.30309,97801.46599,97692.47183,99421.0604,97629.6786,95525.41298,97271.54703,96413.2173,96698.25991,97695.38726,96351.23211,96101.22857,96413.69991,97527.45878,109231.395,90264.50116,96184.30309,97271.54703
"23",102542.2857,104032.2804,104138.8547,103584.2359,104294.5918,104803.3791,104101.8046,104274.3934,104540.305,104347.0347,103993.7989,103849.9578,104261.7176,104994.2547,104212.7199,105233.2034,103793.7875,104284.8487,103617.6471,104586.4443,104652.3851,103244.0095,103205.028,102905.2953,103969.0908,103683.1379,101789.3344,103300.6382,105165.591,103680.6457,104439.7463,96797.34666,103424.8804,103460.2083,103231.3065,104262.2497,98429.41868,103939.4639,104418.3638,103583.563,102330.7466,98225.89685,103172.3898,105714.356,103460.3085,102450.2953,103824.0103,102847.8633,103002.2346,102821.6498,110851.858,92153.67358,102202.7777,102202.7777
"24",103779.5714,103854.9926,104155.8633,104225.4254,103827.8466,104796.395,103364.1272,103569.9577,103260.2243,103237.1707,103438.8281,103508.168,103396.78,104139.6506,103818.2746,104712.2872,104099.5038,104004.4562,104680.5119,104200.1108,104514.6862,104414.8528,104211.9085,104386.1055,103114.1124,104459.6986,104256.0484,105022.0297,104656.8812,104567.2216,104880.0838,103340.3588,103102.6454,103994.0508,103555.7347,102142.2381,104498.0473,104761.9286,103446.6696,103615.1247,105160.529,105713.213,104703.4171,103156.7849,103754.8271,103042.182,104124.9095,103868.4159,103935.6907,103459.6408,112584.2078,95490.74335,103471.7007,103471.7007
"25",110106.1429,105119.9874,105163.56,105436.3269,105264.0262,105708.9084,104616.24,105573.0685,105550.1361,105706.6563,105882.0665,105855.4038,105444.1443,105325.9772,105940.7477,106287.5293,104994.6211,104971.514,105767.2431,105153.5056,105173.7357,105167.3123,105087.5255,105229.3612,106153.3999,105513.4367,104843.443,105128.2375,105435.1666,105715.1818,105492.8389,114652.855,108057.5101,107938.9786,108015.468,108377.5403,106263.3347,107925.9321,108198.4706,108859.963,106628.054,104425.4732,107064.3314,106887.9575,107198.6443,107152.8291,105007.7625,105022.554,105217.5655,105910.875,114816.0818,98892.18589,104980.1032,107064.3314
"26",105577.7143,113442.7345,113617.4093,113307.99,114054.6871,113767.8166,113765.0026,113952.7286,114034.0923,113923.532,113667.0341,113437.9859,114011.7009,113982.6088,113565.8994,114250.9422,113399.9293,113512.5856,113078.5835,113639.9207,113574.9471,113906.3598,113652.1588,113415.5515,113575.6043,113636.6951,113271.6381,113348.7737,114222.1729,113537.4612,113719.2802,101987.9372,109482.514,109773.3979,109540.4389,109070.1844,109523.4947,110054.344,110268.6946,109164.3168,108100.0412,107348.3277,109169.1289,110777.3196,108566.4083,108043.7373,113331.5001,112601.8713,112656.4211,112642.7565,117527.9685,102435.2782,111697.5918,109540.4389
"27",107686.4286,104838.4331,104660.8296,104910.6749,103352.0338,103592.8773,103698.9935,104179.0599,104379.7978,104462.8901,104752.4739,104417.4494,103925.4671,106125.547,105474.6011,106102.7393,104966.4357,104221.0309,104949.0479,104593.4742,104713.5148,104056.7655,104554.4115,105468.0559,104791.9471,105548.0976,104726.8149,105769.8075,106491.1579,106790.4793,107052.3805,113139.7623,106118.0131,105674.6505,106387.8621,106082.6949,108060.7921,105680.0956,105637.3561,106171.3862,107804.7482,106059.8399,105781.2625,106041.0849,108300.815,106667.4994,105095.6486,106151.5788,105790.498,105430.93,117846.8573,106118.3841,106102.1205,106387.8621
"28",109256,108636.2257,108537.1722,108743.6242,109262.9965,109506.8584,108099.621,109727.8517,109935.878,110044.0945,110043.3727,109949.9133,109514.8993,108742.8346,109687.9142,109944.6317,108600.498,109320.5032,109324.3703,109158.9469,107985.7057,110061.0274,109649.3016,109799.6862,111080.3106,110364.5884,109835.0239,109018.4362,109236.948,109524.822,109502.555,110014.236,109614.8702,109202.074,109535.0681,109220.4029,108616.1782,109862.6305,110585.3202,111180.6883,108468.0395,105915.0379,109993.4841,109852.2423,109359.7224,109230.3198,108364.767,108628.8367,108514.3274,109522.2072,119310.2125,107280.1308,108208.1992,109262.9965
"29",110538.8571,110105.5596,109883.6939,109461.3949,109492.5315,110024.5397,109697.2297,109734.028,110090.9554,109827.4603,109512.4634,109341.5404,109499.7903,111439.2741,110325.0674,111340.3397,110075.1522,109818.0344,109840.1122,110149.4724,110063.1609,108857.5496,109701.1764,109393.7456,109036.7895,109667.5158,109013.0103,109308.2099,110823.9071,110507.6283,110803.1432,103628.4592,107714.9865,108002.9536,107724.4403,108176.9623,107419.8576,107775.1949,107904.4675,106477.4086,106965.6541,104696.4328,107189.598,109348.9834,108196.702,107723.1275,110222.4604,110317.2652,109696.6728,108595.0622,119053.019,107839.9618,108996.3905,107724.4403
"30",111134,111256.0595,111704.0651,111807.1603,111857.2259,112325.0273,110837.8948,111458.2989,111059.2005,111140.6393,111365.7527,111214.1232,111090.5375,110841.6549,111303.3655,112008.1045,111463.6569,111410.347,111671.3144,111733.5043,111123.4231,112361.707,112179.6375,112144.9531,111204.8014,112106.9195,112793.6651,111982.7515,111419.5434,111530.5776,111240.7153,115250.7086,112104.7334,112063.3732,112619.6629,111881.0069,114000.4689,112912.0687,112897.6545,112609.3299,113530.3352,111802.594,112446.4995,112413.1189,112561.3534,112882.5977,111512.138,111609.044,111247.2369,111083.4728,120347.6638,109810.9234,110357.0444,112619.6629
