"","Target","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","ARIMA","ETS","SVR","ELM","XGB","MLP","LSTM","DESTC"
"34",57828.71429,57465.71426,57457.04713,57362.25298,57301.93763,57448.61178,57612.83072,57480.3832,57662.59395,57668.88772,57735.19087,57751.32372,57760.00421,57771.72102,57802.98421,57767.32075,57473.94226,57459.78514,57729.16151,57518.23604,57636.27005,57865.69243,57768.37739,57932.72506,57961.97362,57987.78795,57860.77744,57858.31626,57894.52427,57944.25075,58018.24722,57843.53579,57630.34618,57736.66394,57766.0792,57745.96732,58320.00389,58120.84032,58091.39023,58085.07527,58140.06335,58604.46506,58264.05446,58371.84332,58232.38194,58274.33034,57593.10718,57651.45783,57670.0715,57227.8924,56139.04492,57711.41034,56370.00604,57716.62578
"35",57387.42857,57831.35192,57787.4849,57707.16267,57691.69142,57841.71125,57890.61743,57747.7121,57926.40071,57929.33726,57998.00313,58033.60609,58025.27248,58015.59829,58029.3195,58025.49292,57678.35819,57420.91736,57712.68303,57365.33426,57189.02814,57722.56683,57551.2095,57615.68923,57726.74512,57641.21891,57978.81651,57746.15401,57738.75127,57610.14271,57743.58227,58053.27858,57834.54266,57884.03936,57808.06818,57409.19828,58019.53272,57953.79274,57910.33429,57791.36496,57672.96769,58382.29938,57865.74609,57889.56988,57658.34395,57488.24033,57864.07181,57828.69656,57922.06376,57708.55959,55907.28489,57397.60864,56640.06754,57721.4568266667
"36",56683,57163.37471,57188.15014,57143.63916,57087.91903,57263.40957,57260.78618,57134.29477,57312.56699,57306.93018,57368.25718,57398.65815,57364.41176,57393.86016,57383.47095,57376.2609,57204.84837,57127.47793,57068.62222,57134.54591,57069.8337,57339.23621,57289.77076,57377.63338,57403.13935,57444.80156,57558.83793,57405.74894,57457.17929,57466.44294,57473.62169,55898.38436,56493.42368,56669.89899,56460.74861,56033.51782,57552.29174,56844.75092,56824.44158,56653.63988,56722.12225,57715.01019,56830.23033,56886.96643,56520.89503,56560.51805,57299.41939,57387.47271,56697.58017,56961.01454,55729.5894,57110.78545,56177.73048,56555.2660766667
"37",57522,56420.69518,56423.73714,56363.12293,56294.8803,56392.23362,56537.47583,56410.24499,56587.82513,56592.08591,56655.61534,56671.73874,56662.54405,56691.49375,56715.35464,56678.64266,56420.23425,56272.28734,56154.39065,56277.79966,56232.52308,56467.48768,56404.16331,56463.88893,56484.82923,56537.47657,56637.16102,56556.66428,56496.70932,56478.67288,56547.90175,57160.36653,56766.32251,56872.48461,56787.90423,56499.20535,57509.18832,57210.61621,57308.69155,57212.29432,57238.64466,57705.42618,57126.09497,57376.83116,57264.43749,57099.50546,56542.51011,56683.07047,56784.73458,56242.34073,55531.01476,56447.75357,55433.59412,56725.87473
"38",54868.42857,57635.02868,57596.56139,57472.84286,57479.47551,57667.56464,57778.92648,57638.5213,57804.22571,57813.94034,57867.72146,57891.93393,57910.10802,57861.26074,57863.86414,57849.28799,57611.96303,57644.46432,57604.56311,57549.15373,57404.18919,57755.2629,57843.97423,57934.09211,57954.72405,57997.40571,58073.07515,57925.34487,57988.66958,58068.72033,58076.81049,56129.40408,57706.10305,57899.15309,57676.96044,57491.05162,57814.92999,57870.56635,57866.50946,57850.75993,57933.01332,57619.22683,57968.5198,57924.9699,57878.91312,57752.65626,57689.32856,57521.91609,57514.8985,57411.97336,55531.69844,56804.30451,56500.58134,57016.1639233333
"39",57797.71429,54242.86246,54257.61745,54327.51152,54190.06825,53998.82644,54172.77311,54085.13498,54239.07989,54253.94349,54316.40461,54345.25179,54236.34116,54342.41056,54423.26572,54154.32579,54399.23916,54144.17406,54101.05091,54272.17585,54184.38843,54310.7547,54211.01359,54326.07448,54348.10897,54444.11825,54734.38158,54394.4798,54438.79424,54434.73672,54398.337,56439.86752,54667.82818,54673.27395,54383.97171,54567.31144,55983.61857,54728.48851,54625.77345,54571.31311,54597.38431,56564.60396,54607.04122,54533.24715,54511.66516,54431.47795,54339.20536,54868.69399,54434.54324,54309.91528,54772.23689,55425.98914,53325.00037,54986.5152466667
"40",56291.57143,58149.78395,58140.74909,57861.499,58100.87281,58078.4262,58501.26604,58435.89356,58514.74622,58595.94342,58604.39193,58550.20609,58684.66373,58539.15326,58488.65204,58091.10392,57959.00614,58152.80956,58006.22248,57977.21241,57901.83521,58376.64996,58563.16409,58638.93813,58644.04374,58673.82464,58548.41395,58632.97119,58601.84468,58463.92243,58464.85183,56900.07717,58028.527,58100.72602,58075.38676,58278.77932,58092.94527,58358.56256,58480.25418,58512.79929,58610.05381,57146.08147,58439.54781,58461.31494,58256.0289,58456.61266,58381.92543,57797.42131,57857.26492,57421.17778,55389.59275,56299.7713,57110.2554,57553.0591
"41",55585.57143,56202.64654,56148.17958,56308.42869,56313.16149,56113.41147,55722.03308,55789.30692,55975.61961,55957.80449,55950.55897,56083.47704,55931.91272,55903.23768,55813.81761,55520.68897,56294.94883,55985.77881,56009.26356,56047.45919,55855.6429,55932.9617,55841.798,55833.85351,55902.78133,55964.67885,56581.44354,55909.73516,55858.30741,55758.68634,55519.7409,56277.30171,55865.81602,55962.43423,55713.25673,55751.88834,56916.27717,56019.02934,55880.66428,55747.66004,55619.18017,57464.72666,55812.25017,55577.0591,55466.28274,55352.30017,55991.18918,56291.72205,55919.3818,56694.40025,54659.12232,56384.61683,54967.03207,56017.4421366667
"42",54632.57143,55002.89485,55147.20543,55021.50764,54873.20344,55299.22262,55395.33088,55276.37472,55394.2576,55467.48053,55458.40547,55442.93255,55501.81454,55495.56353,55628.50654,55354.87507,55124.6576,55229.61972,55171.17544,54907.63536,53553.33985,55618.88841,55674.18496,55624.08756,55646.47454,55650.57507,55386.96402,55751.28681,55537.70633,55199.72317,55208.03886,56836.55359,55416.02474,55536.06939,55501.08673,55719.87876,56885.03215,55839.65732,55888.25031,55875.59652,55966.2704,56525.53945,55900.40976,55849.94037,55749.48919,55857.46947,55444.76814,55585.64206,55116.65522,54328.32742,55064.89826,55515.92002,54431.36451,55168.8495533333
"43",59896.14286,54636.55892,54508.19666,54426.76261,54414.78602,54107.34009,54537.55767,54344.11263,54616.1522,54563.10073,54739.8949,54687.80165,54725.3169,54892.38294,54947.41983,54895.92186,54520.95915,54145.89641,54061.03526,54052.5885,53585.50551,54176.41683,54079.82179,54150.02859,54186.31512,54021.07919,54229.99743,54319.90578,54244.82389,54291.6426,54438.51176,54399.04589,54606.42433,54271.05637,54375.06883,54430.37688,55094.34486,54512.36915,54350.14791,54200.69554,54278.24335,55302.04732,54295.60126,54143.19338,54104.26373,53963.41376,54442.50693,54632.66676,54540.79185,54928.78465,54333.49833,54537.64995,53290.4937,54175.1144166667
"44",59395,60801.36494,60807.60337,60646.56931,61263.92974,60638.40197,61233.54455,61057.81587,61223.29192,61279.08093,61187.80125,61351.69874,61283.09636,61298.42195,61090.2681,61107.39781,60724.94361,61313.3207,61467.15067,61182.61912,61701.1032,61310.47,61754.74685,62061.3931,62217.09958,61951.43985,61771.04446,61619.31207,61912.6623,62252.10554,62161.46744,56872.59225,60201.11984,60851.08537,60648.04927,60599.30344,59890.97778,61035.36989,61177.97175,61492.22554,61627.09702,58618.20923,61446.79175,61204.98853,60557.16496,61741.23671,60945.89948,59895.61638,60136.81142,60057.20087,55358.25099,57825.2854,59619.9776,59570.1689566667
"45",60945.28571,59535.28461,59609.69872,60022.89981,59722.54057,59225.19363,58928.56822,59049.22812,59462.11582,59286.40602,59197.0468,59462.82146,59291.06123,59173.83464,58880.89606,58953.43011,59466.43927,59252.38615,59222.08735,59311.2337,58843.02264,59006.89811,58540.7754,58936.85803,58642.3412,58927.60495,59643.10129,58672.93741,59043.2486,58799.00573,58633.87608,63900.23216,60470.38475,60689.20216,60335.2915,60169.47804,60743.61868,60573.03256,60126.20032,59639.15224,59545.85425,61445.15365,59985.78515,60387.75765,59841.07144,58923.51126,59295.05303,59395.05007,60348.28552,60082.24548,55613.39443,59097.74552,58385.37342,61030.51344
"46",57044,61125.31312,61256.2077,61315.08313,61230.31379,62022.45438,61815.40298,61689.94647,61891.05052,61850.41668,61943.80293,61710.43848,61933.89141,61910.96415,61831.10395,61446.52686,61167.61435,61612.46989,61375.52058,61536.84981,61373.84816,61721.73241,62169.60587,62001.43513,62026.88134,61778.05435,61504.07828,62210.71532,61505.34559,61776.71968,61411.75687,58162.65943,60007.88301,60275.0126,60671.13319,60123.51082,61651.81396,60249.84311,60408.67039,60976.43019,61035.48298,60376.75529,60478.38521,60123.54842,59817.54526,60192.22202,61254.47173,60945.13065,60104.52315,60776.37577,57360.46712,60223.33722,60255.06307,59880.34358
"47",56179.85714,56798.66262,56812.38781,56796.1227,56846.43006,55914.87697,56329.21841,56197.92937,56507.52752,56647.07747,56709.49139,56792.27172,56531.38209,57380.45196,57001.58347,56884.46574,56944.61882,56558.10156,56554.29011,56484.02448,56305.19674,56233.57163,56409.05903,56571.83786,56550.05274,56500.11247,56365.86915,56971.23548,56721.0929,56557.66509,57012.90321,58456.27604,57499.90101,57098.38535,57112.23276,56754.56957,59218.24322,57885.14342,57816.0564,57520.67922,56791.95602,59804.14965,57468.87096,56918.98783,56701.47633,57720.24111,56265.93503,57044.39021,57477.25613,57934.53887,56496.42549,58562.72323,55161.99626,57412.9096366667
"48",53930.71429,55617.39586,55610.79092,55406.34207,55173.09565,55627.10691,55728.32107,55720.12073,55957.26867,55940.82029,55944.82806,56019.28532,56117.06991,56038.17395,56228.40272,56113.86927,55739.5394,56086.14832,56189.58856,55435.61459,56475.11356,56962.71724,56462.65453,57123.43956,56762.84199,57415.66125,56444.9775,56393.01549,56902.60088,56855.07927,57190.53342,56580.88645,56181.24209,56452.71705,56424.06568,55871.54131,57315.56013,55737.66443,55777.21436,56406.91852,57102.16356,57338.40276,56565.11982,56136.21735,56678.95312,56620.72063,56007.51414,56179.94362,55753.89396,54933.93069,56257.62124,56800.67102,54672.2198,56269.9646566667
"49",51938.42857,53479.26996,53318.4718,53328.4456,53334.55692,52771.7209,53291.54155,53075.78591,53371.87677,53239.73975,53630.84083,53408.51975,53561.79418,53808.81324,53906.99598,53676.47567,53221.21477,52516.06994,53228.6171,52352.54859,52082.78731,53121.1142,52555.06863,52666.85175,53130.12181,52459.52996,52896.77823,53145.97993,52925.76136,52667.40043,52647.40277,56658.01068,53058.83593,52672.25566,53076.86366,51393.74496,53812.86421,52752.63367,52860.90098,52146.46416,52701.0311,54755.27487,52496.83512,52777.90638,51413.85739,51410.33896,53482.14953,53930.93927,53423.64931,53565.77907,54528.73138,54266.95086,52191.21218,54054.8157666667
"50",36515.71429,50872.63246,50980.58817,50893.31007,50872.22729,51127.5413,51206.00011,51133.39239,51047.70689,51166.70577,51208.0801,51164.29635,51140.37467,51135.60452,51275.98976,51076.90191,51029.71736,51082.873,50873.83531,51202.70469,50219.63276,51311.97543,51338.81727,51587.72821,51560.51418,51717.74607,51939.70562,51605.61071,51912.58642,51599.02067,51595.36649,48710.48159,48709.39521,48880.71505,48118.22849,48601.81361,51198.93616,48987.72248,49038.17622,48515.20949,48407.62756,51485.91929,48444.14071,49374.87002,48576.60937,48499.85338,51541.09092,51938.62787,49317.60479,49917.25619,53468.92665,51917.85518,50458.02819,49415.90638
"51",41609.57143,32786.48643,32790.3978,33203.09698,35466.57086,36742.21544,33999.93664,33727.15589,33898.67676,33045.93911,33358.02801,32890.11217,32821.31847,34981.60891,34979.04877,33899.77329,35667.20588,32167.41335,36685.84492,33377.52922,35703.49128,31677.1608,32672.93971,33107.8138,33732.89518,34067.4527,35670.34499,32329.45528,33704.85943,31754.04484,32391.78172,41629.40597,33639.23497,32690.81984,33474.96562,32944.99221,36910.04214,31229.2079,32739.63518,32614.0887,34073.81783,40648.60233,32675.987,33201.11166,30417.59579,34585.33349,33439.83762,36517.25697,33805.7453,32997.94791,48657.62841,40691.51312,33270.41798,37046.2141833333
