"Target","ARIMA","ETS","SVR","ELM","XGB","LSTM","MLP"
21798.8571428571,21826.5722397928,21758.2594791055,21616.2407091093,21466.9146104516,27733.9079445998,19254.3601143616,25872.1150150228
20954.7142857143,20794.3188451003,20738.8087149946,20829.6167287988,20398.7616516161,26687.1818028504,18458.559196475,24526.298974558
19995.5714285714,20172.4692831204,20134.3484268282,20308.3118791085,20058.3707618788,25678.6892830729,17760.8297548308,23346.6898797708
19219.7142857143,19218.528518599,19174.9975010317,19050.651986577,18893.1973186529,24794.3970322013,16815.6034452901,22166.2671715206
18060.1428571429,18546.2576614383,18510.3345409068,18814.7803648835,18299.1354120158,24070.5915896069,16243.2450064279,21238.493181301
16458.8571428571,17205.451624669,17150.087454661,17011.7173239179,16927.9451875205,23207.7917768175,14854.8446857404,20286.9008122214
15258.8571428571,15302.0248670783,15222.2851158707,15052.3870621822,14843.7737323028,22201.8860509892,13122.1243896626,19214.7073269217
14279.4285714286,14231.2426324986,14171.0971577877,14468.7812249665,14016.8030847109,21112.2060870244,12208.4737354347,18094.964034959
13466.1428571429,13414.7385060009,13368.873074243,13429.6210391859,13230.8502578806,20000.2697578328,11312.3344030309,16766.1469261604
12772.7142857143,12744.5868678846,12707.9299624211,12757.8735623291,12452.7997816934,19129.6319283233,10685.1750604212,15524.8771102982
11961.2857142857,12162.3832682447,12131.5133679648,12223.7933495905,11978.9004586792,18408.0313161058,10107.0716409995,14553.130728337
11218.5714285714,11319.9221542348,11282.4142431448,11257.5781695075,11090.4962596472,17727.869093394,9294.50469606405,13688.719215596
11041,10605.7780284215,10570.4612741581,10832.1112722826,10394.7622232989,17093.9430953037,8668.5378250948,12919.8048067277
10843.5714285714,10751.5038563409,10744.9729180124,11114.415412018,10716.8278154514,16613.7900417234,8837.78184698167,12275.5657921845
10645.7142857143,10643.6417105964,10637.7769174286,10707.0922183973,10533.9094058977,16247.6577725765,8580.5619876626,11673.4048784957
10494.5714285714,10473.4201662619,10465.8286535499,10491.2677598121,10279.8553785902,16086.4784612372,8480.28568104335,11318.6569870412
10375.2857142857,10356.8663596995,10350.5650544587,10505.4435536075,10298.1461177962,15932.2769722314,8342.80053276817,11146.288937888
10379.4285714286,10266.068210243,10261.0430396185,10368.7614004967,10164.4515986798,15795.2141576622,8261.38018396355,10964.2755321846
10207.7142857143,10347.7437165373,10348.771367743,10611.510642451,10266.5364095921,15721.4517126736,8333.29491898843,10833.5818825492
9697.71428571429,10102.323815035,10094.5617599237,10069.9658194921,9976.21350298175,15622.2281349245,8040.07732202325,10702.9689731811
9276.71428571429,9381.18735528605,9355.18392725556,9247.77831216562,9156.52062926831,15427.2590217108,7368.06055012629,10532.2219401641
8908,8943.99280901404,8921.59058039773,9071.72323730524,8813.97375211564,15139.5007089745,7024.41444542862,10313.9002573249
8620.57142857143,8599.32671876316,8580.99457717335,8709.93525781794,8496.98280624849,14759.307211734,6645.58111115296,9922.18574501645
8420.71428571428,8364.60388228421,8351.09177126,8438.20866570231,8204.04362252714,14448.3950746457,6437.07247618834,9486.19451226649
8265.14285714286,8229.86793724855,8221.11549262715,8327.3920891615,8126.12892106615,14199.8330562995,6292.25549056132,9138.08595510182
8081.42857142857,8119.20038991335,8112.7286243705,8174.20998352325,8013.98025615751,14010.3294381045,6189.03837497461,8856.71233427382
7872.57142857143,7933.80395496733,7925.62628834289,8096.14515815942,7816.90784586826,13851.0754716013,6009.19253490936,8633.3661224913
7717,7710.43558396247,7700.51238899845,7831.88980052255,7592.7768078415,13694.8182111737,5809.82928791642,8444.8562306634
7599.71428571429,7579.99254737113,7572.57197512175,7705.54377832267,7485.06121736852,13541.2657497014,5692.04165947295,8266.70593621191
7439.57142857143,7491.82654725107,7486.56241499313,7612.40216140065,7399.7253420838,13399.9982304417,5592.52306920857,8082.94729857643
7282.28571428571,7316.90334158267,7309.48098857867,7385.67687849171,7199.17306293708,13270.8044865415,5414.09328921636,7907.25647688338
7000,7156.60733965669,7149.00460306166,7240.11946670053,7048.02798190513,13149.399073043,5273.79775855938,7760.75636722218
6699.14285714286,6803.8435434067,6789.8972332633,6853.15923969586,6676.69196674377,12971.3357296487,4916.44754618122,7578.91065284326
6469.42857142858,6470.72102815076,6455.44481119285,6550.85365145132,6331.19311816403,12767.1218558266,4635.07858344558,7365.19116524145
6278,6270.5443196786,6259.17623421908,6411.14346684342,6178.40866040168,12537.2201554165,4438.56919436299,7117.88993722342
6125.28571428572,6109.60764783219,6100.71551208457,6191.88313802498,6001.20005231418,12325.270742906,4275.18039455442,6839.17453442727
6066.57142857143,5987.92068411428,5981.08153287949,6102.52691645579,5880.55559733086,12159.0296378845,4159.32276903944,6599.51257785587
6062.14285714286,5991.15745026993,5989.04840662299,6125.46359205261,5916.58994603743,12044.3225611789,4168.11103659797,6425.13844359914
6016.85714285714,6036.2094767627,6036.94976706,6188.55698995469,5967.32930376858,11977.4199335178,4198.51906342946,6299.94134293142
5988.57142857143,5983.59259781762,5982.05155371297,6108.61347534903,5889.49333359083,11940.7234820198,4140.73387518596,6220.49291988639
6047.71428571429,5962.48295678516,5961.28805833144,6089.20528633194,5881.18055677596,11922.5289733183,4136.19999863633,6191.96676236249
6150.14285714286,6072.49822037304,6075.70214580641,6234.26083018782,6024.70021240152,11920.6719471699,4237.85665328729,6184.64424119535
6215.42857142857,6214.83996740809,6220.47010822507,6362.7708643129,6157.52771767967,11954.0425207331,4356.11940715,6189.24643643271
6390.57142857143,6271.88340182936,6275.49743467887,6374.53984770139,6193.19288097157,12014.7560963645,4400.04987606051,6231.67234151562
6748,6505.57799655707,6514.35674029038,6657.77131865321,6465.26846682202,12121.1872956696,4646.03596933966,6341.30520295955
7338.71428571429,6982.63950144363,7000.9780793647,7212.64852112529,6993.13663614066,12292.2635005457,5084.53015037661,6502.72984049575
8000.85714285714,7740.36866869987,7770.86456263295,7999.67334657543,7768.54402102947,12611.4018287162,5798.52565049131,6770.00496849134
8617.28571428571,8494.22619210371,8528.41617000029,8700.54739320663,8521.62898634347,13060.4978279315,6473.92109203622,7189.45686801984
9299.14285714286,9113.76511655935,9144.78415523272,9243.00513692017,9111.44290766048,13592.0700102165,7062.33131712107,7755.7628922278
10029.1428571429,9832.99011070627,9866.33760330856,10064.161763335,9869.43204092079,14163.0993400628,7764.87412085561,8431.39123838998
10621.8571428571,10601.4026991322,10637.1020385507,10828.3276160824,10650.622145591,14743.6032297398,8473.94446466366,9123.25458907371
10991.1428571429,11129.695231846,11158.2981658097,11237.0921639426,11111.1766217825,15311.0396176903,8948.06373595907,9796.76505591614
11402.1428571429,11354.6321961703,11371.1394385209,11375.6634528691,11291.6693975312,15799.4530216966,9165.3885870363,10443.6622884912
11905.7142857143,11743.9162357327,11762.0238211194,11859.4348673852,11730.6061087205,16213.1319921116,9579.09240061044,11033.9419613041
12439,12292.2296877786,12315.978805683,12484.0635401868,12308.3207738448,16582.1056975893,10074.9680685543,11514.8682582137
12874.7142857143,12855.9705445125,12881.9472986165,12985.8460856255,12828.3654596308,16992.4712116491,10600.0903456381,11960.6973819974
13289.8571428571,13246.8808833411,13267.9075057403,13311.8197099364,13201.7452796013,17410.1903008251,10957.2821828765,12442.8844692352
13737.5714285714,13636.6357724069,13656.100112166,13727.7682250362,13600.8928746734,17815.4132809355,11360.2071707632,12949.5607006309
14244.5714285714,14094.5695144811,14115.7675204499,14295.9961528219,14084.4845712552,18191.7001913956,11796.8381148619,13429.1640993144
14859.5714285714,14637.7323388132,14662.2407568038,14816.9506587998,14619.9181320852,18585.526372234,12315.9017665017,13885.2596586276
15526.5714285714,15324.0702335286,15354.2825532993,15497.4352620477,15326.5695358892,19037.1625844751,12965.6808055412,14381.4086013223
16348.5714285714,16042.2005055251,16075.2339610096,16181.5386385509,16049.6769948878,19545.9784329548,13630.707333525,14935.1874625158
17210.8571428571,16966.3439387682,17007.010783693,17181.1402157046,16998.6175553734,20154.2818177498,14526.7131339482,15590.4568397332
17977.5714285714,17882.829928335,17925.6441172192,18094.0381120871,17925.8852078765,20820.8765701566,15362.8282883877,16324.0566978327
18610.4285714286,18613.2426653887,18650.6862990963,18725.7644198056,18600.9714278126,21519.6183705372,16052.4029630323,17113.1561735315
19063.7142857143,19160.3336370898,19190.1538839225,19269.747499297,19137.3880225337,22172.6487580339,16575.9166455595,17923.0431626709
