"Target","ARIMA","ETS","SVR","ELM","XGB","LSTM","MLP"
43774.8571428572,44055.7757048133,44444.1601020827,43687.0407828857,43501.5391997046,50395.3043885742,44187.3142897231,40976.4197927713
41646.2857142857,41350.1581879107,41667.9844986852,40985.4187744068,40636.9322512497,47253.0197625927,41847.0840391517,39873.5926533597
39813.7142857143,39475.8442763498,39729.6852532112,39755.9538614804,39498.4881476416,44557.8787896463,39942.7056475622,38382.643911796
38167.4285714286,37888.825249438,38098.8800306613,37790.0193912154,37377.4614672604,42441.2725764939,38446.7114343388,36780.9226231064
37110,36455.1209157582,36630.6907077748,37111.1868741451,36162.8902526232,40590.6286954028,36942.6292778339,35168.7069432224
36912.4285714286,35687.2044298511,35806.7861879035,35861.6018143367,35549.9646963696,39087.8280792066,36187.1375336392,33987.7580558828
35840.7142857143,35898.1984999336,35949.9937524144,36395.6706965103,35931.876418648,38177.3221685631,36442.3823915635,34148.9283622588
34749.5714285714,34888.10285719,34965.0359013771,34785.297888155,34792.2464908396,37541.7351328049,35079.4357946089,33920.5863579256
33266.8571428571,33833.981208698,33902.0466764368,33506.5099529041,33606.6903121208,36599.8267381532,33960.4992188726,33699.2548537254
32204.4285714286,32279.7980626415,32361.9904315647,31766.1612763747,32099.6755705214,35445.2206238253,32226.9738826581,32928.7263699089
31133.1428571429,31272.5456484803,31330.0857413998,30872.0850164719,30937.5980085747,34207.086560045,31354.695844778,31970.3952735237
29415.5714285714,30236.5170520688,30290.5408087834,30127.7303563896,29962.4638161361,33104.9476552435,30292.4935331515,30663.5848885349
29213,28383.4479066326,28472.8227248251,27775.3460912885,27920.1149478133,31861.1273496492,28349.5929891723,29046.3000047633
28504.4285714286,28462.6424775318,28474.3472202221,28656.3447711943,28251.7828453176,30729.8452689392,28751.0900749905,28335.2112590415
27034.1428571429,27820.4566988066,27850.7387999045,27712.2332499866,27721.1344274548,30133.1173832076,27886.7386012418,27520.6262672799
25768.1428571429,26207.3233649751,26276.0734230787,25516.2651699707,25732.1257212372,29259.1828358173,26207.2183229242,26766.4160633939
24460,24894.7807510438,24956.4852054283,24484.0764134726,24627.9858574187,28013.8911320908,24904.3474877732,25854.5479228667
23324,23544.6589589915,23611.2550075079,22900.9395458033,23236.6066496877,26769.61516772,23563.8848035676,24640.0511581131
23276,22422.63591524,22482.6271231375,22114.7083996176,22022.8942914715,25553.3669645446,22552.8254431486,23398.760708017
22590,22652.5034287228,22655.4381595666,22939.1668155929,22509.6130368959,24721.4479534967,22952.2103606803,22470.3796832902
20933.5714285714,21997.6824466581,22026.8876333926,21777.2039871384,21854.0463043827,24281.1534214445,22092.8901192546,21799.668950183
19792,20123.0307149888,20205.2967151418,19265.5970407928,19702.6364925445,23396.5346250364,20110.9642996533,21127.8475488084
19453.8571428571,18960.3779760168,19021.561901834,18424.2419858693,18706.3176811423,22112.0159217502,19043.7544879317,20328.7074909891
17149.2857142857,18806.1156752861,18823.8507189212,18654.6231034507,18681.4096182736,21187.496130509,18995.089181321,19522.8844377824
16168,16141.2539815028,16275.0574285199,15186.6867035973,15618.1247826406,20136.47881791,16074.2523474566,17742.7632452335
16084.7142857143,15241.9012079654,15314.2541342795,14919.8602544703,14785.5896628897,18582.860382029,15585.5511900783,16403.1833999072
16590.2857142857,15435.7288835444,15453.0197830481,15650.9952357065,15518.5296906467,17707.9599329616,15683.7836279614,15459.196062088
16741,16274.6031376456,16260.1416164592,16459.4379776625,16170.2455654417,17608.9016135463,16656.4157649023,15479.2023302402
17321.5714285714,16563.9586526742,16564.205801094,16790.8166255043,16623.154899016,17824.6631638493,16712.8889745048,15844.8447660889
18003,17344.6457630664,17331.892351807,17143.9068005203,17479.790962971,18117.571067512,17445.0424457448,16844.9350907547
20542,18186.7497048371,18179.5850384944,18029.984892203,18418.9867146662,18638.820975508,18117.3954490253,18260.0213924902
21129,21292.9995977475,21284.9986801903,21906.8559082454,21689.1989765441,19809.992184937,21436.9977892722,20322.0909458399
21723.2857142857,21783.4188902734,21860.1383125824,21451.4941709036,22056.370424331,21372.3037359118,21353.2942213331,21635.574833325
21939.1428571429,22313.9631632944,22381.4969767086,21521.8557019179,22209.882914467,22226.2747331602,22005.5412811041,23174.813912298
18599,22393.2169959644,22457.1513325407,21737.5499244751,22564.7394340628,22747.9328354767,21815.2515310475,24000.8900488274
22547.1428571429,18083.1986455682,18282.3773600229,15434.3452447989,17283.9778293444,22043.0927853712,17169.4163504669,22403.6066867624
24659.4285714286,23171.035453531,23137.6908433699,24806.5869275356,23257.4765589942,21555.3243045509,23772.2822435413,23233.6935698135
22290,25603.8445453913,25701.4417132276,26591.0785484673,26370.9578479133,23699.8989483288,25257.8627551453,23181.387739437
20336.8571428571,22346.3908280145,22557.7095319446,20022.3292930048,21224.9454317424,24558.891685009,21782.7478716629,23406.0702342221
28547.1428571429,19893.3309539385,20043.1330874029,18674.155811254,19601.4676770702,23131.6782147969,19262.8076982498,23208.6560693383
28874.2857142857,30271.446660004,30414.0279537704,33083.155508875,31576.311130537,24312.1951755881,31325.8659342783,26721.5668990357
36834.5714285714,30125.0781800132,30518.308811801,30061.2312701373,30526.4195862747,28251.1991721392,29377.9911153231,27981.3115295768
36574.5714285714,39646.9531134725,40196.5553150866,42108.088729548,39923.965206437,31772.9194048473,40976.9324088948,34043.2629905854
38421.7142857143,38418.8883213265,39087.5516839863,37225.2410720618,40036.9433443671,35921.5833958983,36643.2472223895,37212.0660080654
43170.7142857143,40128.8930634102,40597.3135690715,37090.6069251738,39257.4232956661,37618.6512835537,39598.1991339156,42281.7587796279
49483.7142857143,45500.6495272266,45954.9290733772,47750.2922879577,46958.7060590534,40087.5861526813,45100.8864042163,45520.3677723663
44071,52622.0459038022,53267.1204694598,52956.9674769062,53145.0493153907,44714.1650035126,53048.3538820488,48258.4593314358
44326.5714285714,44865.4549176558,45605.1145952014,41305.7530859564,43843.5014386486,47045.7187515497,42020.1869097352,48078.6212545633
48582.5714285714,44928.7233453019,45250.528650761,42728.4170032759,43897.9936961921,45438.2637565902,44000.4989378367,48318.2503065041
52308.5714285714,50041.0361106849,50236.706793997,51566.7553296007,51212.9190642561,46283.5345190763,50050.0194578511,48928.0119318196
56124.8571428572,54217.3829175196,54500.604557514,54719.1443964614,53693.5386612576,49529.4435451286,54612.6826723984,49684.4861902509
60319.1428571429,58361.5404890898,58705.3270891947,60377.6961400375,58639.4158523825,53005.6121395315,58605.9385420169,52109.3645514335
64699.1428571429,62871.5599065349,63272.9083814386,62622.2475471468,63762.0709536009,56775.0730996898,62947.213295017,56323.4535484655
68438.5714285714,67511.6246198013,67975.1423369599,67272.1582695818,68204.0886244753,60868.1467200177,67593.4614163637,62516.2265427623
69272.5714285714,71269.5171086193,71772.8036012064,71153.0861037838,71745.9938225158,64915.0896356787,71090.7754258599,66553.3727947303
76705.5714285714,71399.3486037148,71880.7304196544,69722.4470252427,71283.759028428,67839.070989745,70173.2115506274,68326.8916814668
83385.1428571429,79982.3186414596,80403.066440051,81612.1077085738,80645.5085220283,71123.3550283739,81426.8536741393,72284.2406902143
91023.7142857143,87256.3952555514,87897.9283037959,88883.2478160358,88542.2322463914,77093.5102317163,88483.631651657,75863.1176206895
97714.2857142857,95534.9533893481,96354.2021600952,96581.6965392616,96010.3316799017,83805.8861173902,97227.0970403297,81440.5709018878
103673.285714286,102425.964703243,103382.932228783,103354.931960442,103806.658080661,90728.8048364435,103421.398390106,87362.1604739768
107943.285714286,108340.520375343,109328.81060031,107163.892056218,109071.789493629,97211.690077952,109115.756626129,93103.6888862508
