"","RMSE","MAE","MAPE","R2","WPOCID","Theil"
"X37",29946.5659990847,19058.8313300395,18.6447646493984,0.792991942939734,0.376,42.8254752901141
"X38",19274.4118851499,14192.2990387581,16.0715923648642,0.95308249735337,0.328,17.9517770980438
"X39",22079.1451351441,16614.69418285,18.7962168682908,0.937651304828173,0.32,23.2478586394704
"X40",26973.3965484327,18625.0169323921,22.9102160204279,0.756206095163723,0.48,34.565841902819
"X41",42966.5734566598,29567.7635870926,28.8655166544046,0.640762839992659,0.384,88.6375853011686
"X42",40964.5230352482,30070.2576047737,32.9057804957816,0.561667750575586,0.352,81.2046265734009
"X43",21040.9412903179,13663.48328104,15.7514718601323,0.780418952231166,0.288,21.0753809451092
"X44",29181.8227708642,19189.3285195433,23.1337277481217,0.675524392193818,0.392,39.5319519246807
"X45",56960.5796171674,40870.5628981786,42.6600880802732,0.0310175428009514,0.416,156.143754350092
"ARIMA",3898.08832850151,2395.28490798452,4.1099838085573,0.991552754920599,0.224,0.74315915767286
"ETS",3879.88938846097,2461.474972864,4.20796018066802,0.991906251459205,0.224,0.735771623759052
"SVR",4695.86346199657,2808.0799552933,4.88677715033395,0.987453591315771,0.312,1.07842124682368
"ELM",4070.4135192608,2446.57477296263,4.30713887536216,0.990505871354041,0.256,0.810072656695718
"XGB",6910.08931610782,5603.3465360667,9.58328619480099,0.97262609634987,0.216,2.29000805520998
"LSTM",4987.93910629223,3242.50489554918,4.97763162492431,0.988109005594242,0.264,1.2150226374478
"MLP",14250.785317123,10175.3110896446,11.2542213298516,0.98631987871735,0.184,9.74587951636693
"DESTC",3655.58850181141,2222.912446062,3.90400684588832,0.992538000813838,0.176,0.652842132687591
"DESTCRI",3653.68746679443,2216.29654199365,3.88435799831461,0.992550274326621,0.176,0.65216251179176
"cSA",13103.2503858216,9582.79676205736,10.8398956255906,0.985005054826727,0.224,8.26272341214173
"cSM",9947.61612769787,7124.32700287372,8.39931103817518,0.984267740966338,0.28,4.77013843799187
"cSVR",27052.8665714939,18039.6128659603,18.6295062251982,0.968719474263391,0.28,34.8006378561809
"cELM",47515.3204024232,31050.5434759537,39.0823422176957,0.319645906402801,0.392,110.424480713781
"cMLP",90595.1176808264,67933.825206749,82.9992746146037,0.382118888497818,0.512,380.543366950136
"DSLA",3887.14314926595,2529.6723562503,4.51799893160995,0.991526052324561,0.216,0.739016892090537
"DESLA_m",3661.38890152747,2364.92142234126,4.04588138763508,0.992563038758149,0.216,0.655681189214263
"DESLA_a",10710.2425663357,7721.44547854007,8.83854852287547,0.989195061993194,0.224,5.54488521101955
"Oracle",724.569885054152,352.906889304042,0.749329057826759,0.999693745079505,0.032,0.0256767467040985
