"Target","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","ARIMA","ETS","SVR","ELM","XGB","LSTM","MLP","DESTC","DESTCRI","cSA","cSM","cSVR","cELM","cMLP","DSLA","DESLA_m","DESLA_a","Oracle"
5700.71428571429,5835.76803490394,5834.7931604699,5839.4449712302,5817.85643305822,5930.72283582074,5805.15989607078,5861.27364951836,5848.04789242908,5848.58034163112,5853.44087992232,5847.41460467038,5840.04671819612,5865.24078457876,5847.89209826812,5856.35095637309,5840.3062585374,5840.06094788348,5844.98316517112,5846.57067951683,5884.91586191973,5877.55509612738,5840.67219070831,5840.47712340102,5858.60714118205,5859.45952241522,5877.00599336191,5855.77090519457,5852.52920575639,5874.18128984429,5877.55925200296,5504.28365405793,5808.87279518082,5799.91957977127,5809.17316636688,5820.70359854355,5730.88941782599,5806.35241068593,5824.52550960025,5811.6289981164,5798.19986743264,5622.3658710118,5799.87439695092,5803.26339487754,5805.63329016084,5818.87798896207,5837.44772447421,5794.35741887442,5864.57018213836,5708.17293046769,5880.76988692511,6017.18368820917,5531.56416593279,5864.57018213836,5844.60445741313,5822.85391748679,5840.3062585374,5571.46707631603,6656.0946827488,29144.0972349634,5856.35095637309,5817.85643305822,5811.42237711145,5708.17293046769
5656.57142857143,5705.10193723797,5706.70647147671,5708.76981895528,5708.54182099688,5706.21567226088,5709.45411034918,5718.14416589349,5719.6416729883,5709.68682447961,5721.03765307591,5709.20064679892,5713.13758186355,5711.21262071544,5715.79093799768,5724.23952425102,5695.50611154509,5686.18967485153,5695.35730678288,5703.28652228279,5709.5385669146,5688.36342391192,5693.01956929635,5703.96748632415,5709.12270890784,5703.30036960205,5664.27030911492,5697.62152156798,5720.56494858114,5731.72740602721,5744.98803441995,5909.71278851664,5751.41627809398,5745.09562547727,5768.58256883591,5755.61682601778,5880.08542020849,5745.06979826731,5741.81314939822,5754.5808622569,5759.70063235676,5741.96657811808,5772.9083170754,5742.03158777802,5743.28628905607,5751.62715432768,5710.76839561208,5738.41135352187,5705.49042893908,5904.70323067938,5941.40711121332,5895.68072110131,5578.99100276402,5741.96657811808,5740.18896581998,5736.61861964409,5718.14416589349,5600.86937408787,6521.46857052113,30748.9846286659,5724.23952425102,5745.09562547727,5784.37674703263,5664.27030911492
5570.85714285714,5690.20894268411,5690.50605161328,5694.29444283057,5687.16752940294,5682.65314309877,5705.85129163347,5723.87909129417,5724.87129591472,5735.16759722732,5733.14040641827,5704.6389847591,5717.83564334428,5738.75290251364,5758.57567984574,5741.93116624607,5689.26252115496,5692.78431197537,5687.01449822205,5698.63732822973,5699.79157961669,5768.88612672687,5708.72298597461,5712.05909980154,5711.4392917982,5710.8226229494,5698.2261617017,5700.423610501,5713.51142409605,5731.13827166245,5756.22217835189,5677.88203041502,5691.39896709387,5680.69682863648,5685.02421189376,5690.03951082749,5694.29282568083,5699.27962708276,5705.78135627063,5710.32445487242,5699.87791490889,5713.92226755685,5728.70731988756,5674.40535601456,5758.54794330762,5718.86715560778,5739.19280384014,5666.37992883261,5623.2971343607,5595.35402798841,5974.17095565796,5743.86460277012,5530.76435107276,5699.79157961669,5694.21755219291,5708.24076104871,5705.78135627063,5454.83986502477,6399.48076103242,32689.3522610505,5741.93116624607,5699.87791490889,5705.2244474407,5595.35402798841
5534.14285714286,5542.88239399028,5541.45713497128,5545.89682243849,5532.13526940595,5545.82761876854,5584.64682741291,5564.56405764509,5568.26615243754,5562.38862214315,5560.68397226581,5547.50418734701,5567.35484271582,5552.39773180957,5558.02926113691,5522.45106231406,5543.95303723892,5547.18154493746,5536.81988747183,5546.12327538208,5532.91173174776,5555.26300951284,5557.24824562087,5552.16385202933,5555.06669545883,5541.30368676373,5514.35556088015,5536.30717783381,5550.78324545068,5540.16076386859,5538.77743508223,5595.60196222545,5594.52663601979,5589.92979537853,5593.24238784652,5593.5047203518,5587.8647492083,5569.26590717896,5566.68090597461,5567.92749822533,5569.55823291058,5544.1652507573,5550.97691113351,5539.70162613248,5615.02790644627,5583.09819389986,5593.34403556223,5555.47951013556,5519.58767350512,5540.28561240992,5901.6877339681,5640.71873092651,5514.52525293259,5544.1652507573,5549.82238044643,5565.26909696511,5555.06669545883,5169.2464917207,6220.54348884902,34573.5443710325,5522.45106231406,5584.64682741291,5575.27238286647,5532.91173174776
5667.14285714286,5471.21085467034,5471.90596267025,5472.5597127078,5475.18585261693,5466.81120918044,5468.03565840923,5491.11500575225,5487.57143090096,5487.8790958615,5486.56497938993,5472.01284289938,5481.47394549467,5486.23096552909,5489.26808899887,5490.16042952136,5492.88398764998,5492.77395265868,5501.95556340999,5488.64356413934,5473.78744252233,5522.11535041126,5507.06963001852,5499.44664936236,5500.0658587456,5498.20728650204,5541.60165126856,5502.46898148025,5486.8760124889,5461.05525699025,5465.21918977142,5662.92005206257,5521.04535008162,5516.64366427136,5520.35042843953,5534.43745233878,5638.08922868203,5477.96760790554,5485.52551465082,5494.62860368395,5497.84454895405,5536.44564738152,5480.14739277297,5490.788950944,5502.42740470921,5464.89492004863,5484.55581891088,5497.58595226895,5480.13110387035,5585.85559174462,5841.01522373018,5615.5077600025,5446.21501486642,5536.44564738152,5539.02364932504,5508.54840764064,5490.788950944,5097.77999790834,6210.35869230752,36388.6566008213,5490.16042952136,5516.64366427136,5546.16185377512,5662.92005206257
5422.14285714286,5655.18650453674,5653.70238590508,5659.81579925078,5652.2615422067,5693.01250696946,5643.86428101655,5679.33998245846,5672.11393549983,5672.68410473633,5674.43919242537,5662.90908973057,5670.24949884373,5676.99839969163,5671.44914275465,5674.10855985318,5636.77804933865,5633.03648664344,5643.63429367806,5628.84318795498,5647.98412433794,5689.78769285656,5664.13093984587,5654.91237009546,5659.24279194978,5663.50890602895,5665.64248263546,5662.81667203832,5665.93565996594,5659.05756937896,5653.31460130231,5728.80176529638,5628.33191504383,5625.76766951445,5614.59673484552,5651.38955708761,5769.87793582703,5648.71721507705,5653.11738886521,5645.14588480958,5648.4964092927,5559.49915841159,5622.90266471636,5641.09088332291,5607.8848073288,5600.05273960969,5604.36470564768,5640.89348079627,5660.10973447917,5731.44456020769,5837.54291825067,5811.53969374157,5468.62579363868,5660.10973447917,5662.87610855732,5658.54446794517,5654.91237009546,5358.6854873427,6388.46713011267,37133.5337308449,5674.10855985318,5663.50890602895,5695.73226350876,5468.62579363868
5493.85714285714,5366.09535170905,5367.56894980482,5369.18256765912,5368.36407383802,5347.46567483055,5383.9543648319,5378.77245268635,5384.17588812854,5374.42693695031,5378.72097424375,5363.80445173918,5378.54930881596,5373.26731668079,5382.37976951069,5379.59530340256,5368.08881354211,5364.10095489966,5367.38995460536,5383.67074550705,5376.22525203558,5363.65663724657,5365.75646562503,5379.57757638493,5382.77932381381,5374.2724052515,5343.75109157325,5363.67211208506,5378.54919094223,5393.31632395042,5405.74798039043,5276.69331501138,5222.06469806273,5228.0730927382,5228.87848060281,5200.39678624255,5484.91107051353,5256.6995434365,5258.51997501752,5265.09581662095,5240.96644450911,5358.05009189996,5238.15230721717,5256.77683538437,5241.68999157289,5226.017529613,5323.12262686279,5415.99426812409,5232.61146698047,5246.22089512952,5809.82244418916,5521.91009812128,5414.6097257705,5358.05009189996,5350.9005917366,5348.78549734502,5367.56894980482,5201.09068339566,5874.13260059783,38319.6624333739,5379.59530340256,5374.2724052515,5368.63382910682,5484.91107051353
5468.42857142857,5484.69253291536,5483.65615081126,5487.16107942903,5486.04555547327,5488.5624057601,5481.77811204571,5518.590359162,5513.52087957774,5524.82871463681,5519.61780084169,5492.22135680844,5508.47867373713,5512.11526282827,5521.19847566911,5513.01252597715,5483.27395044086,5488.57881899041,5481.26107188467,5487.53855569581,5497.4607677184,5564.00293198337,5507.3592266974,5497.1066138448,5501.42970224055,5502.67462205563,5503.77028096394,5501.8133109883,5512.19701648795,5514.50813119637,5522.16570658259,5472.51299149913,5551.88500238618,5550.1975289867,5560.70991761415,5540.11499812118,5515.63754495146,5578.20124329513,5584.3865762972,5567.4160283249,5598.85027618597,5463.46652419444,5591.8476629716,5572.02130883856,5589.46480417646,5641.49485725743,5489.7542273807,5447.72649966475,5493.70292299836,5501.48967829258,5781.78271629697,5556.46092387608,5351.15130578904,5493.70292299836,5499.47522300549,5521.88634509662,5512.11526282827,5065.34391183701,6243.62481372252,39613.8013663562,5513.01252597715,5515.63754495146,5523.06878644726,5472.51299149913
5460.57142857143,5423.72419072076,5419.44130570061,5427.67444000468,5422.20022020928,5420.5853511067,5435.88460670321,5438.98219068349,5439.88924940781,5428.84961011084,5432.53170333089,5423.58088800166,5446.94720143843,5422.99996591227,5424.59927836752,5411.36480750757,5423.42743488182,5423.6235908202,5419.40955193179,5432.47734915814,5419.58703615851,5415.00170373219,5429.0105023967,5423.32008039709,5435.62161495306,5420.86995107964,5400.75919579345,5415.22283421711,5434.00698441088,5425.06759702691,5425.22958809584,5300.65130898753,5478.82860307229,5474.86302045019,5467.14515517614,5508.43293513425,5314.70746969279,5468.38036568632,5473.83110348087,5474.61370392761,5462.49759553776,5329.2274202048,5460.15056197636,5446.22106168849,5455.69605672014,5467.14790967474,5445.22586953893,5442.48217260932,5417.94783575572,5392.25415806371,5727.90443166097,5589.31718390328,5370.70140221005,5417.94783575572,5418.76743595712,5437.38025801354,5428.84961011084,5339.88772030314,6256.07656091407,39787.70317484,5411.36480750757,5425.22958809584,5427.46916949976,5460.15056197636
5334.14285714286,5433.12454146365,5436.45529780512,5437.03550347606,5436.09435693983,5449.47063349265,5417.92597318303,5455.00567870587,5451.07174883397,5454.03206020461,5455.5841206445,5435.0491241935,5435.5154940968,5463.53913338131,5467.77842554814,5478.59703771479,5444.50659069633,5443.67828364274,5450.52577380146,5442.87367329842,5450.96984860041,5483.69445896751,5460.10045569855,5459.63196391569,5463.03042417944,5470.21245417109,5488.94533213089,5462.65387744192,5466.26543813737,5458.43020326976,5475.25653217628,5596.92773916011,5460.1041589167,5451.3117507357,5468.04928016907,5458.67703710903,5606.45573584782,5437.38468085982,5452.8900407171,5449.65872246498,5461.81629101561,5463.35783092553,5459.79404301384,5445.63052741958,5464.07978971893,5441.81171493931,5459.76752584187,5441.58984957036,5439.69343048545,5545.94417383131,5733.27797771635,5579.50180889311,5327.56012798491,5457.03245359139,5451.3117507357,5467.43557128793,5458.43020326976,5076.69371422486,6167.7307885525,40739.1067104409,5478.59703771479,5470.21245417109,5505.87513876476,5327.56012798491
