[1] "Iter.: 39 | lag: 5 | kernel: radial | gamma: 0.1 | cost: 1 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.556667376407964"
[1] "Iter.: 40 | lag: 5 | kernel: radial | gamma: 0.1 | cost: 100 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.541820685143542"
[1] "Iter.: 41 | lag: 5 | kernel: radial | gamma: 0.1 | cost: 100 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.550742770175679"
[1] "Iter.: 42 | lag: 5 | kernel: radial | gamma: 0.1 | cost: 100 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.543304360752594"
[1] "Iter.: 43 | lag: 5 | kernel: radial | gamma: 0.1 | cost: 1000 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.448447638459215"
[1] "Iter.: 44 | lag: 5 | kernel: radial | gamma: 0.1 | cost: 1000 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.432306398000599"
[1] "Iter.: 45 | lag: 5 | kernel: radial | gamma: 0.1 | cost: 1000 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.418688111952481"
[1] "Iter.: 46 | lag: 5 | kernel: radial | gamma: 0.001 | cost: 1 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.220357558388176"
[1] "Iter.: 47 | lag: 5 | kernel: radial | gamma: 0.001 | cost: 1 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.231399182299275"
[1] "Iter.: 48 | lag: 5 | kernel: radial | gamma: 0.001 | cost: 1 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.230086439709466"
[1] "Iter.: 49 | lag: 5 | kernel: radial | gamma: 0.001 | cost: 100 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.179861028630428"
[1] "Iter.: 50 | lag: 5 | kernel: radial | gamma: 0.001 | cost: 100 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.115515681310435"
[1] "Iter.: 51 | lag: 5 | kernel: radial | gamma: 0.001 | cost: 100 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.103323600633055"
[1] "Iter.: 52 | lag: 5 | kernel: radial | gamma: 0.001 | cost: 1000 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.211277371648897"
[1] "Iter.: 53 | lag: 5 | kernel: radial | gamma: 0.001 | cost: 1000 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.0358609159611488"
[1] "Iter.: 54 | lag: 5 | kernel: radial | gamma: 0.001 | cost: 1000 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.0316614527850925"
[1] "Iter.: 55 | lag: 7 | kernel: linear | gamma: 1 | cost: 1 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.00108218077995119"
[1] "Iter.: 56 | lag: 7 | kernel: linear | gamma: 1 | cost: 1 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.000882268694019022"
[1] "0.0009147119 --> 0.0008822687 - it: 56"
[1] "Iter.: 57 | lag: 7 | kernel: linear | gamma: 1 | cost: 1 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.000870598677644561"
[1] "0.0008822687 --> 0.0008705987 - it: 57"
[1] "Iter.: 58 | lag: 7 | kernel: linear | gamma: 1 | cost: 100 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.00103125101199557"
[1] "Iter.: 59 | lag: 7 | kernel: linear | gamma: 1 | cost: 100 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.00104600156459389"
[1] "Iter.: 60 | lag: 7 | kernel: linear | gamma: 1 | cost: 100 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.00107206212941071"
[1] "Iter.: 61 | lag: 7 | kernel: linear | gamma: 1 | cost: 1000 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.00103672009040619"
[1] "Iter.: 62 | lag: 7 | kernel: linear | gamma: 1 | cost: 1000 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.00103341313207571"
[1] "Iter.: 63 | lag: 7 | kernel: linear | gamma: 1 | cost: 1000 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.00106322687635945"
[1] "Iter.: 64 | lag: 7 | kernel: linear | gamma: 0.1 | cost: 1 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.00108218077995119"
[1] "Iter.: 65 | lag: 7 | kernel: linear | gamma: 0.1 | cost: 1 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.000882268694019022"
[1] "Iter.: 66 | lag: 7 | kernel: linear | gamma: 0.1 | cost: 1 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.000870598677644561"
[1] "Iter.: 67 | lag: 7 | kernel: linear | gamma: 0.1 | cost: 100 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.00103125101199557"
[1] "Iter.: 68 | lag: 7 | kernel: linear | gamma: 0.1 | cost: 100 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.00104600156459389"
[1] "Iter.: 69 | lag: 7 | kernel: linear | gamma: 0.1 | cost: 100 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.00107206212941071"
[1] "Iter.: 70 | lag: 7 | kernel: linear | gamma: 0.1 | cost: 1000 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.00103672009040619"
[1] "Iter.: 71 | lag: 7 | kernel: linear | gamma: 0.1 | cost: 1000 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.00103341313207571"
[1] "Iter.: 72 | lag: 7 | kernel: linear | gamma: 0.1 | cost: 1000 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.00106322687635945"
[1] "Iter.: 73 | lag: 7 | kernel: linear | gamma: 0.001 | cost: 1 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.00108218077995119"
[1] "Iter.: 74 | lag: 7 | kernel: linear | gamma: 0.001 | cost: 1 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.000882268694019022"
[1] "Iter.: 75 | lag: 7 | kernel: linear | gamma: 0.001 | cost: 1 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.000870598677644561"
[1] "Iter.: 76 | lag: 7 | kernel: linear | gamma: 0.001 | cost: 100 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.00103125101199557"
[1] "Iter.: 77 | lag: 7 | kernel: linear | gamma: 0.001 | cost: 100 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.00104600156459389"
[1] "Iter.: 78 | lag: 7 | kernel: linear | gamma: 0.001 | cost: 100 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.00107206212941071"
[1] "Iter.: 79 | lag: 7 | kernel: linear | gamma: 0.001 | cost: 1000 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.00103672009040619"
[1] "Iter.: 80 | lag: 7 | kernel: linear | gamma: 0.001 | cost: 1000 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.00103341313207571"
