"Target","ARIMA","ETS","SVR","ELM","XGB","LSTM","MLP"
11111.1428571429,10825.7102004341,10778.325150173,10853.2996024542,10316.0897245703,13514.0419171538,10754.2946384634,11018.1642197285
11057.8571428571,10900.6152971518,10842.4739014368,10854.9009306327,10470.3506349203,13074.8944476814,10776.0141736908,10549.5548210541
10753.8571428571,10806.4001996387,10914.796561602,10855.4131815736,10826.6695175127,12794.7914900028,10861.4544663614,10365.5276961128
10626.7142857143,10563.0247729684,10536.0813153357,10441.899015258,10261.9272863897,12636.6142240521,10581.222381535,10343.652859316
10687,10443.0709625164,10467.374698084,10389.2761019175,10098.1527183124,12517.9202009383,10494.9200779058,10393.1504359416
10801.7142857143,10698.9668941435,10649.9832605546,10612.6656238738,10328.8222261012,12357.0242850412,10577.058903504,10531.0233304046
10797.5714285714,10793.6689628754,10846.1337433225,10842.0449546705,10570.7456571169,12326.8765859874,10781.3345611663,10698.3930532989
10769.1428571429,10791.7556395528,10814.5082016294,10756.6105616996,10883.8432954107,12372.7132334809,10803.2687266526,10797.0985429486
10734,10772.9384891505,10761.5387376105,10688.2280591886,10895.4903176231,12421.6855767085,10770.5698939519,10851.6181186409
10549.7142857143,10678.7653161576,10712.3535496358,10680.8900599413,10966.8907293496,12408.6419898343,10692.3415269738,10964.7055806007
10674.4285714286,10452.539885572,10444.7497194802,10449.0472589698,10545.7222673233,12346.3014969017,10441.9500279852,10886.6743942669
10639.1428571429,10757.8462760437,10694.7258944982,10713.5187162767,10666.9884640453,12322.4304242006,10638.9491963812,10843.8949192422
10539,10542.2352216157,10629.4241044273,10607.9612276,10609.6436416744,12246.8683583254,10566.4355781674,10768.233390564
10307.8571428571,10523.8096500324,10482.6178529364,10471.1831310892,10532.3105866724,12274.6010307258,10499.6698629856,10695.0078280767
10155.8571428571,10128.0513227826,10164.0495211503,10122.8655457172,10260.2256584132,12185.929069441,10173.379520561,10569.2344963409
9922.85714285714,10043.9765064622,10015.3717483938,10026.2388620424,10029.7203612917,12058.328763062,10003.6767842017,10365.2450123571
7970.71428571429,9741.8492578539,9742.3554988432,9772.67895425287,9771.20342748904,11860.5984558165,9710.33829388874,10166.5218220438
5951.14285714286,6479.69677228241,6969.9679494736,6888.56073958534,7337.55288000289,11286.8533845317,7192.04307665427,8858.02059612104
4067.57142857143,4882.3117581337,4615.39597631143,4615.79989560926,5714.33873234376,10332.759064954,4833.67357674809,6900.06914619888
4517.71428571429,2288.57100166588,2672.7750137403,2744.25505795468,2017.74733331486,8554.82132862721,2510.50343930721,4490.45536325091
3053,4707.18196094171,4143.04087654191,4542.60464957378,3789.27623611035,7276.8656529699,3696.00931213016,3055.85973268463
2513.14285714286,1239.00598293522,2208.98283168179,2126.38342775609,2199.37633508753,6052.1784156419,1959.53360492984,1547.57088996115
2124.42857142857,2461.88046250004,1890.83919296191,1750.57786571936,2799.20776024041,5822.5519579649,2197.12319420562,522.771604717487
